Force (lbsf),Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Trial 26,Trial 27,Trial 28,Trial 29,Trial 30,Trial 31,Trial 32,Trial 33,Trial 34,Trial 35
10.00,70305,70787,62554,77640,66093,59060,85323,74591,79744,83836,81374,56206,69207,83342,64857,105203,80070,54661,88891,72841,64549,80721,62401,56505,78993,88823,86985,92876,74272,90647,108231,80070,76995,81047,71260
20.00,38004,39826,35640,43799,37028,32466,51026,44507,49564,51172,49855,32466,39404,47240,36610,61486,46518,48524,52938,42653,37306,44937,33022,30694,45798,51613,51466,52938,42369,50440,63013,45942,43222,47530,39826
30.00,27588,27457,23856,30016,25449,22799,36333,31920,33984,35501,34397,22010,28125,33297,25582,43365,32329,33984,36194,29880,27051,30558,24784,22141,31920,35917,35917,37864,29745,35363,43935,31238,31238,33709,27588
40.00,20177,21223,18487,23195,19656,18228,29096,25316,27320,28260,29609,17710,21747,25848,20046,33984,24784,26382,28934,21878,21354,23459,19005,17839,25316,27588,27454,29096,23195,27722,33022,24253,23459,26115,21354
50.00,16679,17710,15011,19005,16164,14756,23988,20438,22273,22668,23063,14245,18228,22141,16807,27185,20438,21223,23327,18616,17581,18764,16421,13991,20830,22404,22931,23327,18357,22536,26784,19656,19265,21747,17581
60.00,14500,15011,12974,16293,14373,12467,19916,17323,19265,19786,19135,11709,15011,18357,14245,23591,17452,18357,19265,16164,14883,15523,14118,12467,18616,19135,19265,20307,16421,19525,23591,16421,16164,18746,15395
70.00,12467,13228,11457,14245,12214,11205,17452,14628,17065,17194,17581,10450,13101,16164,12214,20569,14883,16164,16936,13355,13355,13863,12467,10199,15139,16679,16550,17581,14118,16550,20307,14245,14500,15908,13609
80.00,11205,11709,10325,12594,11079,10074,15908,13609,15267,15523,15908,9823,11961,13863,10576,17542,13863,14500,15267,12214,11961,12467,11079,9823,14373,15139,15139,15139,12847,15395,17839,12847,13101,14500,11538
90.00,9823,10576,9073,11583,9823,9198,14118,11079,13991,14245,13101,8449,10827,12214,9573,16550,12088,13101,13228,11079,10576,10953,10325,8948,12974,13355,13609,14245,11079,13355,16164,11583,11961,12847,11079
100.00,9198,9573,8574,10450,9073,8574,13101,10953,12467,13609,12467,8076,10325,11331,9323,14245,11457,11331,12341,10325,10199,10450,9323,8200,11457,12341,12594,12974,10200,12594,15139,10576,10325,11961,9698
110.00,8574,8699,7827,9573,8325,7952,11961,10325,11835,11961,12088,7331,9573,10827,8449,13991,10827,10450,11835,9823,9573,9823,8574,7827,10450,11457,11835,12088,9949,11457,13863,9949,9823,10576,9323
120.00,8200,8574,7207,9198,8076,7455,10576,9323,10450,11457,10953,6959,8823,10450,7952,12974,9573,10074,10576,9323,8449,9323,8200,7455,10199,10450,10576,10953,9198,10827,12549,9198,9073,10199,8948
130.00,7827,7952,6835,8449,7455,6959,10199,9073,10199,10827,10199,6835,8076,9949,7455,12594,9323,9448,10074,8449,8325,8449,7827,7207,9949,10200,10199,10325,8574,10074,12088,8449,8574,9455,8325
140.00,7207,7579,6588,7952,6835,6588,9573,8325,9823,10199,10074,6341,7827,8948,7083,11835,8325,8449,9573,8076,7952,8076,7579,6959,9448,9698,9698,9823,8076,9323,11331,7952,8076,8823,7827
150.00,6712,7207,6094,7455,6588,6217,9198,8076,9198,9573,9323,6094,7455,8449,6464,10953,7952,8076,9198,7579,7207,7455,7331,6588,9073,9073,8948,9323,7579,8948,10701,7579,7827,8547,7455
160.00,6217,6588,5970,7083,6217,6094,9073,7455,8076,9198,8823,5847,6959,7827,6341,10199,7703,7703,8823,7207,6835,7207,7083,6464,8574,8574,8449,8823,7207,8449,10199,7207,7455,8200,7207
170.00,6094,6217,5601,6835,6094,5847,8325,7331,7703,8076,8574,5601,6835,7579,6217,9448,7579,7549,8325,6959,6464,6959,7083,6217,7952,8076,7952,8449,6959,8076,9823,6835,7207,7827,6959
180.00,5847,6094,5478,6486,5601,5601,7827,6959,7455,7952,7579,5355,6341,7207,5847,9073,7331,7579,7703,6588,6341,6588,6835,6094,7455,7703,7703,8076,6712,7827,9198,6588,6958,7455,6464
190.00,5601,5970,5355,6217,5478,5478,7579,6341,7331,7827,7331,4986,5970,6949,5601,8325,6835,7455,7455,5970,6217,6217,6588,5847,7207,7455,7455,7703,6464,7455,8449,6217,6464,7083,5970
200.00,5478,5847,5109,5970,5232,5355,7703,6464,7083,7455,7207,4495,5601,6949,5232,8325,6464,7083,7083,5724,6094,6094,6341,5601,6835,7331,7083,7455,6217,7207,8200,6064,6217,6835,5601
210.00,5232,5601,4863,5970,5232,5235,7579,6094,7083,7331,6959,4495,5335,6341,5232,7455,6341,6835,6588,5601,5970,5847,6217,5478,6588,6835,7083,7207,6094,7083,7952,5970,5970,6588,5478
220.00,5109,5355,4986,5601,5109,4986,7083,5970,6464,6959,6835,4250,5355,6217,4986,7579,5970,6464,6217,5478,5970,5601,6094,5355,6341,6588,6588,6959,5847,6835,7702,5847,5724,6341,5355
230.00,4986,5109,4495,5478,4986,4617,6588,5601,6217,6464,6464,4127,5601,6094,4863,7579,5724,6217,6835,5355,5847,5601,5970,5232,6094,6464,6464,6835,5601,6464,7455,5601,5601,6217,5217
240.00,4863,4986,4372,5232,4863,4617,6341,5355,6094,6214,6217,4005,5109,5970,4617,7331,5601,6094,5970,5232,5601,5478,5724,5109,5847,6217,6217,6588,5478,6217,7331,5478,5478,6049,5109
250.00,4617,4986,4250,5109,4617,4495,6341,5601,5970,6217,6094,4005,4863,5847,4495,7083,5478,5970,5970,5109,5355,5355,5601,4986,5601,5970,6094,6341,5355,6094,7083,5355,5323,5847,4986
260.00,4495,4740,4127,5109,4372,4372,6464,5355,5847,6094,6094,4005,4617,5355,4372,6835,5355,5847,5847,5109,5109,5355,5478,4617,5601,5724,5970,6217,5232,5847,6835,5232,5232,5601,4863
270.00,4495,4495,4127,4986,4250,4250,6217,5109,5724,6217,5847,3883,4372,5355,4005,6959,5232,5601,5478,4863,4986,5232,5355,4495,5478,5601,5847,5970,5109,5601,6588,5109,5109,5478,4617
280.00,4372,4495,4005,4617,4250,4250,6094,5232,5478,6094,5847,3883,4250,4986,4372,6588,5109,5601,5355,4617,4863,5109,5232,4372,5355,5478,5601,5724,4986,5478,6217,4986,4986,5232,4495
290.00,4127,4371,4005,4617,4250,4127,5724,4863,5232,5601,5478,3516,4617,5109,3993,6588,4986,5478,5109,4495,4986,4986,5109,4250,5232,5355,5478,5601,4863,5355,6217,4863,4863,5109,4372
300.00,4005,4372,3883,4495,4127,4005,5847,4495,5232,5335,5353,3394,4372,4863,3638,6217,4863,4863,4986,4127,4372,4863,4863,4127,5232,5232,5355,5478,4617,5232,6217,4617,4617,4986,4250
